id,scop_code,class,fold,superfamily,family,length
d2bkma_,a.1.1.1,a,a.1,a.1.1,a.1.1.1,128
d4i0va_,a.1.1.1,a,a.1,a.1.1,a.1.1.1,123
d1asha_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,147
d4hswa_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,137
d1hbga_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,147
d1or4a_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,169
d1itha_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,141
d3g46a_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,146
d1b0ba_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,142
d3d1ka_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,142
d1tu9a1,a.1.1.2,a,a.1,a.1.1,a.1.1.2,129
d1h97a_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,147
d3qm9a_,a.1.1.2,a,a.1,a.1.1,a.1.1.2,145
d3l0fa_,a.1.1.3,a,a.1,a.1.1,a.1.1.3,162
d1xg0c_,a.1.1.3,a,a.1,a.1.1,a.1.1.3,175
d2xkga_,a.1.1.4,a,a.1,a.1.1,a.1.1.4,110
d2wy4a_,a.1.1.0,a,a.1,a.1.1,a.1.1.0,139
d2bk9a_,a.1.1.0,a,a.1,a.1.1,a.1.1.0,153
d4xxia_,a.1.1.0,a,a.1,a.1.1,a.1.1.0,147
d2zs0a_,a.1.1.0,a,a.1,a.1.1,a.1.1.0,140
d5ziqa1,a.1.1.0,a,a.1,a.1.1,a.1.1.0,154
d1kf6b1,a.1.2.1,a,a.1,a.1.2,a.1.2.1,138
d2bs2b1,a.1.2.1,a,a.1,a.1.2,a.1.2.1,134
d7m32a1,a.1.2.2,a,a.1,a.1.2,a.1.2.2,181
d1grja1,a.2.1.1,a,a.2,a.2.1,a.2.1.1,78
d2f23a1,a.2.1.1,a,a.2,a.2.1,a.2.1.1,75
d1vq8v1,a.2.2.1,a,a.2,a.2.2,a.2.2.1,65
d1fpoa1,a.2.3.1,a,a.2,a.2.3,a.2.3.1,76
d1iura1,a.2.3.1,a,a.2,a.2.3,a.2.3.1,75
d1fafa_,a.2.3.1,a,a.2,a.2.3,a.2.3.1,79
d2o37a_,a.2.3.0,a,a.2,a.2.3,a.2.3.0,81
d3ag7a1,a.2.3.0,a,a.2,a.2.3,a.2.3.0,100
d1fxkc_,a.2.5.1,a,a.2,a.2.5,a.2.5.1,133
d1fxka_,a.2.5.1,a,a.2,a.2.5,a.2.5.1,107
d1cxzb_,a.2.6.1,a,a.2,a.2.6,a.2.6.1,86
d4nkgb_,a.2.6.1,a,a.2,a.2.6,a.2.6.1,66
d1seta1,a.2.7.1,a,a.2,a.2.7,a.2.7.1,110
d1ivsa1,a.2.7.3,a,a.2,a.2.7,a.2.7.3,66
d1lrza1,a.2.7.4,a,a.2,a.2.7,a.2.7.4,65
d6p24c1,a.2.7.0,a,a.2,a.2.7,a.2.7.0,86
d1k4ta1,a.2.8.1,a,a.2,a.2.8,a.2.8.1,72
d1qoja_,a.2.9.1,a,a.2,a.2.9,a.2.9.1,46
